CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
35.652.102/0001-76;2024-06-01;1;SECRETARIA MUNICIPAL DA FAZENDA;46392130000118;R SEN DANTAS, 105, 27 AN - CENTRO, RIO DE JANEIRO - RJ - 20031-201;(11) 28737460
35.652.102/0001-76;2024-06-01;1;EDIFICIO CIDADE JARDIM SPE EMPREENDIMENTOS IMOBILIARIOS LTDA;09043077000113;R FUNCHAL, 375, AND 13 - VILA OLIMPIA, SAO PAULO - SP - 04551-060;(11) 30552136
35.652.102/0001-76;2024-06-01;1;TRUE SECURITIZADORA S.A.;12130744000100;AV STO AMARO, 48, AND 2 CONJ 21 E 22 - VILA NOVA CONCEICA, SAO PAULO - SP - 04506-000;(11) 30714475
35.652.278/0001-28;2024-06-01;1;n/a;n/a;n/a;n/a
35.765.826/0001-26;2024-12-01;2;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
35.765.907/0001-26;2024-12-01;2;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
35.819.314/0001-03;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
35.880.201/0001-05;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
36.420.742/0001-13;2024-12-01;1;Daló e Tognotti Advogados;34712837000185;Rua Urussuí, 300 - 1º Andar - Itaim Bibi, São Paulo - SP, 04542-903;011 4304-9010
37.087.810/0001-37;2024-12-01;1;Não possui informação apresentada.;;;
37.180.091/0001-02;2024-12-01;1;Banco do Brasil S.A.;191;Avenida chile, 330 - 9º andar - Rio de Janeiro - RJ;(21) 3808-6066
38.294.086/0001-85;2024-12-01;1;COND. ROCHAVERA CORPORATE TOWERS;11523063000149;Av. das Nações Unidas, 14171 - Vila Gertrudes, São Paulo - SP, 04794-000;(11) 35242500
